ID,Original_ID,Input_rho_s,Input_rho_l,Input_cp_s,Input_cl_l,Input_k_s,Input_k_l,Input_Lf,Input_wt,Input_Tm,Input_dT,Output_Tout,Output_LiquidFrac,Time_Cost_s,TimeSeries_File,Original_TimeSeries_File,Status,Output_TotalEnergy_MJ
36,52,873.0876501679429,777.3973285746896,1989.8294772665568,2065.334890525574,0.2342306793117555,0.1502962202212115,177.73611494809342,0.1039062849915988,23.39950738352958,4.8646964733647895,34.081849400644444,0.8904857290627284,49.07506227493286,ts_0036.npz,ts_0052_20260211_150906.npz,Success,359.4058586392804
37,53,876.1777283920504,802.8255709393525,2140.214100871829,2456.827043202228,0.2226700080438137,0.1664600317958855,231.40918595205383,0.1853936657001619,22.9233259452852,6.744866201568513,33.90610654273877,0.6687262201169978,48.9877519607544,ts_0037.npz,ts_0053_20260211_150955.npz,Success,412.70485454214526
38,54,829.7387149248691,762.1474678447664,2069.611768038045,2267.206548267713,0.2344124502369306,0.1800931928951833,248.94843358048743,0.2039194682937095,24.185751031478823,5.566555954055613,33.9116051677355,0.5042011133774545,48.990962505340576,ts_0038.npz,ts_0054_20260211_151044.npz,Success,399.82688988628837
39,57,882.6828056162102,797.2226752656591,1853.1269650467905,2540.1907584133987,0.2007443866523788,0.1470554899613038,171.56514687036673,0.2206664041202271,24.81886799470199,4.639368502802098,34.02462086418711,0.5570354500405267,50.91568541526794,ts_0039.npz,ts_0057_20260211_151546.npz,Success,346.1776063257706
40,59,890.8017217858389,836.6974758548796,1907.686935232924,2256.347444261634,0.2199012344864009,0.1690133494791487,181.05360159820776,0.176299142899404,20.21812870286164,5.221107190123762,34.212894375142184,0.9960092932908612,48.93963646888733,ts_0040.npz,ts_0059_20260211_151843.npz,Success,334.7306057089914
41,64,904.3558135482798,803.0131067812209,1818.6586580029448,2495.325187576053,0.2307313118984496,0.1802705181943015,158.33813228841376,0.1555312084312136,24.873361614915574,6.531358633666301,34.06247652723681,0.6465177443922622,48.89048957824707,ts_0041.npz,ts_0064_20260211_152758.npz,Success,353.9949436093958
42,66,858.5870762795479,821.3051946262397,2109.5688291878523,2454.0136041195246,0.2135930945337542,0.1683700169955984,154.84613643543432,0.1255344193818219,23.52426768902961,3.3995544929207164,34.06557380746688,0.8539575078272672,50.85606408119202,ts_0042.npz,ts_0066_20260211_153054.npz,Success,367.1709556117557
43,67,874.823932719178,762.3361175221949,2203.327608478393,2594.02877674554,0.2416815515516489,0.1823256648133491,150.61078103431538,0.1554128743194038,22.453626735823907,3.556513768057974,34.08072310969692,0.929646613343161,48.757453203201294,ts_0043.npz,ts_0067_20260211_153145.npz,Success,353.801485097116
44,68,926.373389943034,751.7675819020325,2306.4595060484035,2368.62103618778,0.2367914817010745,0.1678093426670851,209.7339594402086,0.1690577960186877,21.55406281122411,6.629752607472904,34.00175120165687,0.8992186302342771,48.820841789245605,ts_0044.npz,ts_0068_20260211_153234.npz,Success,392.8939864201111
45,70,933.2180894594492,811.1368862816065,2283.0937936383216,2355.3180540044023,0.2262256458797825,0.1919603899621626,227.2488944617293,0.2084598815208785,20.88689415011058,6.629006903597786,33.99956219630798,0.914253858752324,48.81795835494995,ts_0045.npz,ts_0070_20260211_153529.npz,Success,392.76073561084826
46,71,851.8585117788055,819.8647358526147,2281.4693627394977,2521.233087747976,0.2323965390813631,0.1406745688982091,171.88605090404027,0.110647384778799,24.16045995747577,6.945645340509743,34.078304081592364,0.7933265528593454,50.809326171875,ts_0046.npz,ts_0071_20260211_153618.npz,Success,356.5076462641337
47,72,862.3469100591897,761.8070564673953,2278.350448122504,2517.1761571097386,0.2264732698053108,0.1491626606505429,210.76759006269492,0.1997224522433826,21.87619325309052,4.241949642408181,33.91263242625604,0.7571185480748428,48.715564489364624,ts_0047.npz,ts_0072_20260211_153708.npz,Success,418.48060078230844
48,73,911.5138950211322,835.8588125522177,2082.379083107289,2110.821900632812,0.2475306643684255,0.1692150779015587,221.10801809317493,0.1801232539234169,23.75885263810092,5.730673002984783,33.93831593047781,0.6101901839486683,48.82405495643616,ts_0048.npz,ts_0073_20260211_153757.npz,Success,396.17715009987296
49,74,840.8093647886988,759.0891387872605,2367.3869593225486,2427.8955139017226,0.2380639461968513,0.1718199495027979,236.92721262175195,0.2060745801488941,21.11820451030104,6.30512297709379,33.95733191493497,0.8672559994504864,48.9238977432251,ts_0049.npz,ts_0074_20260211_153846.npz,Success,404.9407666987005
50,75,866.9096857916082,772.135702481633,1973.344319855112,2504.0466425772115,0.2403468606216061,0.1894269981011093,242.18485943002432,0.179865887991986,22.28643560473844,6.384330517948694,33.89944589801252,0.7341678038486391,49.92869782447815,ts_0050.npz,ts_0075_20260211_153935.npz,Success,418.79675015028573
51,77,835.1724658382443,770.180645055784,1998.5031683743728,2303.4350188577487,0.2170630795547684,0.1624354745551829,198.87263174306176,0.112454348983064,24.42573398197327,4.488791919316792,34.053817235712074,0.7367820710960455,48.05894160270691,ts_0051.npz,ts_0077_20260211_154232.npz,Success,354.6580162458062
52,78,850.1821835990612,800.2340073993804,2379.099101251192,2573.631801108744,0.2064422967708563,0.19988107557925,203.76148577156707,0.2023958290135076,24.53715403835256,5.305788490240259,33.96984982878803,0.5277775227761073,49.05152583122253,ts_0052.npz,ts_0078_20260211_154320.npz,Success,380.40112718948285
53,80,911.6397572725184,756.6417016799262,2016.2341956130736,2322.33009648805,0.2414364899676258,0.1935633349261257,160.58208835052275,0.127242996325421,23.86865562618016,3.1233911487014687,34.08040521148189,0.833265539983472,50.89162015914917,ts_0053.npz,ts_0080_20260211_154616.npz,Success,347.54919741285266
54,81,847.17251378673,798.8928266073734,2322.292523123905,2472.514222570276,0.2159045892719751,0.1798355553500298,161.74865413324633,0.1531300744308938,20.4446396163126,5.694502887399015,34.210796044018366,0.9959260606977351,48.80230045318604,ts_0054.npz,ts_0081_20260211_154707.npz,Success,334.1234585893826
55,83,841.9755619996682,827.2475886580164,1851.1760964558257,2010.14382567024,0.2355816935096263,0.1984954213541346,191.34544166375665,0.1010476510014469,20.01156737820458,3.401666317659492,34.23210727488794,0.999999999014898,48.84310555458069,ts_0055.npz,ts_0083_20260211_155002.npz,Success,314.9881735664929
56,84,877.2166357095656,782.0501459381545,2043.044536227211,2081.173927375994,0.220902826206921,0.1701137799671994,201.59759883552235,0.2225227698941418,23.08989693166329,4.086040397752136,33.92983574866747,0.6272406902200792,48.68812561035156,ts_0056.npz,ts_0084_20260211_155051.npz,Success,399.48419538625524
57,87,849.7673191776482,847.1308430958582,2153.8628118477704,2332.9618126175733,0.2406279148087314,0.1572756618785406,162.88159183389942,0.1721608215795171,22.325182426141183,6.339063104969733,34.029400573291696,0.8697150251452609,48.89531302452088,ts_0057.npz,ts_0087_20260211_155552.npz,Success,381.3437542837167
58,88,853.7010462806559,807.6920058318036,2142.375687041683,2352.49971656301,0.234086906350276,0.1568638044768505,171.67122157148842,0.1449419361581384,24.11756093052879,3.72880553685249,34.10090532549134,0.8024864533284267,71.82802510261536,ts_0058.npz,ts_0088_20260211_155641.npz,Success,329.52183728693865
59,89,872.2537024809013,843.7562628986668,2074.609379355332,2378.7381564971206,0.202856427887594,0.1636597443916489,167.08127158387782,0.1290035165565666,20.023650590510563,5.93834202538744,34.2401387415448,0.9993968561090149,48.60692071914673,ts_0059.npz,ts_0089_20260211_155753.npz,Success,313.32532992769575
60,91,881.0583625432326,764.0658348383668,1819.8694572252564,2179.0268666533834,0.2229564304279535,0.196685485204433,234.4281268262889,0.1166795700619438,24.313610973661383,6.566607427436622,34.004396651440345,0.6822693374684432,48.84879660606384,ts_0060.npz,ts_0091_20260211_160048.npz,Success,376.6522637879829
61,92,839.174216506559,767.5320675657424,2379.5552128355007,2531.793858794894,0.2154464216730834,0.1787509240232837,179.94237653636654,0.1980410858366684,20.897841290482752,4.372623377176329,34.050962135955615,0.9641626731472952,48.68840837478638,ts_0061.npz,ts_0092_20260211_160136.npz,Success,379.1517403176798
62,93,887.4321437662907,839.5137473982858,1914.433580425243,2059.021615830398,0.2265083707232628,0.1443032620751416,233.2617452663119,0.1823606196621885,23.496418974500795,4.597274221267485,33.92199672877388,0.6115617530438671,47.91543650627136,ts_0062.npz,ts_0093_20260211_160225.npz,Success,401.55045001807065
63,94,842.6894626171975,751.3860469478332,2347.877890900177,2448.3783604494365,0.247727325829252,0.1541098949013397,240.2356683906713,0.1651481924341223,22.39082287205405,5.932197502990134,33.912003859848255,0.7470747783468797,48.95082139968872,ts_0063.npz,ts_0094_20260211_160313.npz,Success,415.71827448683837
